test_date,address_full,lead_ppb,copper_ppb
2016-02-08 13:06:08,"1501 WOODCROFT AVE,FLINT,48503",0,100
2016-02-08 13:05:54,"3218 CLAIRMONT ST,FLINT,48503",0,100
2016-02-07 12:26:04,"3735 DAKOTA AVE,FLINT,",0,100
2016-02-06 11:42:37,"3510 RUE FORET APT 7,FLINT,48532",0,100
2016-02-06 11:42:06,"1407 BROOKWOOD AVE,FLINT,",0,100
2016-02-05 13:10:04,"2010 NORTH DORT HWY,FLINT,48506",0,100
2016-02-05 13:03:11,"417 WEST JAMIESON ST,FLINT,48505",0,100
2016-02-04 13:46:30,"1839 WILLOWBROOK CR,FLINT,48507",0,100
2016-02-04 13:18:07,"325 ALLENDALE PL,FLINT,48503",0,100
2016-02-04 13:13:16,"2613 TROUT DR,FLINT,48507",0,100
2016-02-03 13:43:28,"1901 WINDSOR LANE,FLINT,48507",0,100
2016-02-03 13:42:44,"509 PROSPECT ST,FLINT,48503",0,100
2016-02-03 13:38:06,"809 E BALTIMORE BLVD,FLINT,48505",0,100
2016-02-02 13:27:04,"931 SUNDAY ST,FLINT,48532",0,100
2016-02-02 13:25:07,"3216 STEVENSON ST,FLINT,48504",0,100
2016-02-02 13:24:45,"1957 LAUREL OAK DR,FLINT,48507",0,100
2016-02-02 13:24:25,"6810 FLEMING RD,FLINT,48504",0,100
2016-02-02 13:24:01,"1417 RASPBERRY LN,FLINT,48507",0,100
2016-02-02 13:23:50,"1837 ROCKCREEK LN,FLINT,48507",0,100
2016-02-02 13:22:12,"3610 HOLLY AVE,FLINT,48506",0,100
2016-02-01 14:32:31,"1609 WABASH AVE,FLINT,48504",0,100
2016-02-01 13:28:39,"3902 W KEARSLEY ST,FLINT,48532",0,100
2016-02-01 13:28:38,"4228 PARK FOREST DR,FLINT,48507",0,100
2016-02-01 13:28:29,"2801 N CHEVROLET AVE,FLINT,48504",0,100
2016-01-31 13:16:17,"3096 AYRE CT,FLINT,48506",0,100
2016-01-31 13:06:22,"700 E COURT ST APT 203,FLINT,48503",0,100
2016-01-30 12:30:07,"1818 ROCKCREEK LANE,FLINT,48507",0,100
2016-01-29 13:02:53,"702 FATHER DUCKETTE #206,FLINT,48503",0,100
2016-01-29 13:02:30,"G-3218 N AVERILL AVE,FLINT,48506",0,100
2016-01-29 13:01:55,"1920 COLCHESTER RD,FLINT,48503",0,100
2016-01-28 13:37:50,"814 E KEARSLEY ST #119,FLINT,48503",0,100
2016-01-28 13:37:43,"2933 ALPHA WAY,FLINT,48506",0,100
2016-01-28 13:06:32,"1857 HASLER,FLINT,48503",0,100
2016-01-28 13:05:53,"1422 ELDORADO DR,FLINT,48504",0,100
2016-01-28 13:03:57,"2039 HAMPDEN RD,FLINT,48503",0,100
2016-01-28 13:03:00,"1601 CROMWELL,FLINT,",0,100
2016-01-27 14:11:23,"716 WALDMAN,FLINT,48507",0,100
2016-01-27 14:10:44,"3900 HAMMERBERG RD #218,FLINT,48507",0,100
2016-01-27 13:15:00,"2501 FLUSHING RD,FLINT,48504",0,100
2016-01-27 13:14:15,"1101 WOODSIDE,FLINT,48503",0,100
2016-01-27 13:06:52,"3900 HAMMERBERG RD OFC 319,FLINT,48507",0,100
2016-01-27 13:06:16,"2215 MONTCLAIR AVE,FLINT,48503",0,100
2016-01-27 13:05:15,"1210 DUPONT,FLINT,48504",0,100
2016-01-27 13:02:50,"1809 WINDSOR LANE,FLINT,48507",0,100
2016-01-27 13:02:29,"4026 WEST KEARSLEY ST,FLINT,48532",0,100
2016-01-26 12:28:00,"1406 W MUTT AVE,FLINT,48505",0,100
2016-01-26 12:27:39,"246 E TOSS AVE,FLINT,48505",0,100
2016-01-26 12:23:33,"4414 HUCKLEBERRY LN,FLINT,48507",0,100
2016-01-26 12:21:36,"3750 WORCHESTER DRIVE,FLINT,48503",0,100
2016-01-26 12:19:04,"1207 W GENESEE AVE,FLINT,48507-1352",0,100
2016-01-26 12:18:09,"2207 HILLS ST,FLINT,48503",0,100
2016-01-25 13:50:11,"1839 WHITTLESEY ST,FLINT,48503",0,100
2016-01-25 13:49:48,"2015 COLCHESTER RD,FLINT,48503",0,100
2016-01-25 13:49:24,"7103 SHORE LANE,FLINT,48504",0,100
2016-01-25 13:08:00,"2011 CRESTBROOK LANE,FLINT,48507",0,100
2016-01-25 13:05:06,"2037 HILLS ST,FLINT,48503",0,100
2016-01-24 12:12:43,"1715 CRESCENT DRIVE,FLINT,48503",0,100
2016-01-24 12:09:11,"1125 S FRANKLIN AVE,FLINT,48503",0,100
2016-01-24 12:09:04,"809 MCKEIGHAN AVE,FLINT,48507",0,100
2016-01-24 12:08:46,"1220 AVON PARK DR APT 7,FLINT,48503",0,100
2016-01-23 12:03:11,"3209 PROSPECT,FLINT,48504",0,100
2016-01-23 12:01:59,"710 LOCKHEAD AVE,FLINT,48507",0,100
2016-01-23 11:58:08,"3817 KELLAR AVE,FLINT,48504",0,100
2016-01-22 12:37:37,"1939 WOODSLEA DR #2,FLINT,48507",0,100
2016-01-22 12:36:11,"3305 BEGOLE ST,FLINT,48504",0,100
2016-01-22 12:35:59,"3925 HOGARTH,FLINT,48532",0,100
2016-01-22 12:35:21,"225 E 5TH STREET SUITE 200,FLINT,48502",0,100
2016-01-22 12:34:30,"2725 BRANDON AVE,FLINT,48503",0,100
2016-01-21 16:21:57,"1821 ROCKCREEK LANE,FLINT,48507",0,100
2016-01-21 16:21:51,"1932 HOWARD AVE,FLINT,48503",0,100
2016-01-21 16:21:32,"3113 CHEYENNE AVE,FLINT,48507",0,100
2016-01-21 15:48:00,"3914 SENECA ST,FLINT,48504",0,100
2016-01-21 15:30:00,"1933 BARKS ST,FLINT,",0,100
2016-01-21 13:43:16,"1602 N BALLENGER HWY,FLINT,48504",0,100
2016-01-21 13:40:43,"5126 WOODHAVEN DR,FLINT,48504",0,100
2016-01-21 13:40:22,"3764 WORCHESTER,FLINT,48503",0,100
2016-01-21 13:40:20,"308 BURROUGHS AVE,FLINT,48507",0,100
2016-01-21 13:39:35,"3701 SHERRY DR,FLINT,48506",0,100
2016-01-21 13:37:49,"705 COLUMBIA DR,FLINT,48503",0,100
