test_date,address_full,lead_ppb,copper_ppb
2016-02-09 13:39:22,"924 BARNEY AVE,FLINT,48503",10467,170
2016-01-30 12:32:26,"3124 STEVENSON ST,FLINT,48504",6290,22080
2016-01-22 12:55:51,"3930 BROWN ST,FLINT,48532",5447,450
2016-01-21 13:44:13,"2310 CALUMET ST,FLINT,48503",5013,7490
2016-01-21 13:37:50,"2932 BAETH ST,FLINT,48504",4247,1920
2015-12-29 15:13:43,"1201 N GRAND TRAVERSE,FLINT,",2516,560
2016-02-11 13:01:25,"329 W ELDRIDGE AVE,FLINT,48505",2141,90
2016-02-05 13:03:31,"3514 BRIARWOOD DR,FLINT,48507",1844,150
2016-01-30 12:31:32,"1351 N BALLENGER HWY,FLINT,48504",1708,780
2016-01-25 13:05:56,"3934 HERRICK ST,FLINT,48532",1703,1190
2016-01-25 13:48:56,"735 THOMSON ST,FLINT,48503",1490,60
2016-02-03 13:37:00,"2606 WESTWOOD PKWY,FLINT,48503",1412,650
2016-01-21 16:01:33,"809 FRANK ST,FLINT,48504",1403,880
2016-01-31 12:37:43,"2316 E SECOND ST,FLINT,48503",1234,1960
2016-02-01 13:24:03,"1006 KENSINGTON AVE,,48503",1231,240
2016-02-02 13:24:48,"454 E ATHERTON RD,FLINT,48507",1119,540
2016-01-22 12:38:08,"2429 BROWN ST,FLINT,48503",1070,250
2016-01-07 15:17:48,"1201 N GRAND TRAVERSE,FLINT,",848,1660
2016-01-24 12:13:11,"1505 ARROW LN,FLINT,48507",794,640
2016-02-02 13:24:50,"1609 MABEL AVE,FLINT,48506",789,590
2016-02-05 13:10:16,"232 BROWNING AVE,FLINT,48507",780,590
2016-02-07 11:44:37,"2529 N CHEVROLET,FLINT,48504",766,740
2016-01-26 12:18:40,"3825 SUNRIDGE DRIVE,FLINT,48506",749,160
2016-02-02 13:27:28,"3217 WOLCOTT STREET,FLINT,48504",746,1520
2016-02-09 13:39:32,"1902 NEBRASKA AVE,FLINT,48506",728,250
2016-02-06 12:08:41,"1517 W MCCLELLAN ST,FLINT,48504",671,1600
